1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
380,123,193,128,0,551,177,372,37,0,178,0,162,266,0,258,181,17,0,0,259,0,0,0,19,0,6,93,0,19,0,0,72,128,22,6,105,26,33,136,81,161,4,0,0,71,99,0,162,130,31
599,770,716,349,0,764,397,562,159,0,538,0,383,372,166,418,377,72,0,0,408,246,208,0,63,0,10,142,0,44,0,0,132,207,36,24,94,31,53,213,121,199,31,0,0,137,110,0,205,199,35
801,1028,881,420,0,762,489,834,553,699,742,0,407,425,332,446,491,72,0,0,563,312,476,0,160,0,3,178,0,37,0,0,169,214,121,58,106,27,190,194,117,293,56,0,1,171,140,0,157,217,85
875,1417,2050,972,0,1365,904,926,467,966,1667,0,833,881,511,520,751,255,0,0,640,503,310,0,144,359,45,546,0,42,0,0,199,338,265,35,171,34,165,223,113,335,85,0,21,183,191,0,268,236,124
796,3103,1038,728,119,1203,917,955,390,782,1125,0,699,571,475,570,2819,187,0,3,629,498,309,99,145,1224,202,287,19,24,0,0,165,252,317,34,176,26,209,262,88,341,144,27,18,169,172,17,207,229,116
833,3395,540,617,1170,901,999,1164,672,701,917,0,391,384,531,452,959,103,0,3,717,367,413,335,243,282,349,193,48,15,0,75,245,139,515,48,177,16,207,211,220,300,95,118,20,182,184,20,98,197,150
1051,4575,939,586,1321,1187,1205,1474,970,1100,1269,890,596,521,601,666,1047,233,604,297,1001,653,567,745,297,371,389,289,198,24,0,116,254,298,625,78,231,27,296,309,269,397,357,359,552,299,233,177,193,227,153
1575,7430,3141,1576,1682,2932,1318,1598,991,1826,3029,1360,1993,1556,1134,1241,787,502,713,385,945,964,622,966,336,304,417,610,156,30,0,149,291,516,541,89,300,294,300,283,269,410,365,459,821,322,309,73,382,278,261
1734,5441,2223,1829,1695,1827,1064,1366,900,1542,1230,1186,1269,914,1098,918,744,1224,998,355,746,643,613,670,386,241,681,428,533,37,793,503,297,229,521,74,225,477,224,230,215,211,263,254,566,214,191,115,198,150,208
1882,6248,1683,1038,2075,1517,1392,1811,3117,1754,572,1910,880,614,932,738,325,1054,1085,1082,832,752,830,922,534,355,644,307,674,24,516,674,334,239,460,386,220,762,259,232,241,158,273,284,309,263,215,359,159,142,209
1365,4982,969,1063,1832,1120,1241,1988,3223,1193,314,1975,598,405,676,585,27,1169,979,1358,560,488,799,795,831,549,554,235,802,15,631,551,317,123,0,527,380,589,211,201,186,57,313,310,151,164,246,1084,97,103,239
1357,5804,2269,2758,2090,1751,1132,1800,1691,1326,1029,2238,1118,998,1184,690,12,1690,1514,1844,237,606,820,821,897,562,489,380,891,685,761,532,344,161,0,599,423,757,318,151,256,59,315,374,100,233,299,534,130,142,426
994,5065,1905,4105,3955,1120,2968,1333,1008,1228,683,1313,1132,814,910,527,6,1087,999,870,0,705,563,472,575,882,361,277,495,1617,763,362,227,203,0,407,256,119,221,62,282,9,195,270,98,183,181,387,188,98,277
1519,7536,2983,4843,4981,2379,4298,2021,1396,2227,702,2224,1593,1545,1635,1007,3,587,1098,1596,20,868,829,864,799,243,669,440,431,1489,380,818,378,333,0,887,278,33,281,137,439,0,406,460,286,257,264,57,238,145,248
214,516,262,346,371,254,342,227,121,134,57,235,117,212,96,112,0,94,88,110,1,59,54,46,53,7,48,58,75,116,66,35,30,40,0,67,43,2,31,22,29,1,62,47,10,40,37,1,36,30,26
